fecha,codigo_gps,coordenada_completa,longitug,latitud,fn_valor_pastoral
01/2017,CP2 T23,-68.2892623/-44.2912477,-68.2892623,-44.2912477,"14,40"
02/2016,CP2 T24,-68.27305/-44.3615172,-68.27305,-44.3615172,"8,60"
01/2017,CP2 T24,-68.27305/-44.3615172,-68.27305,-44.3615172,"23,20"
02/2016,CP2 T25,-68.2519132/-44.4239358,-68.2519132,-44.4239358,"5,00"
01/2017,CP2 T25,-68.2519132/-44.4239358,-68.2519132,-44.4239358,"7,80"
12/2015,CPI T01,-68.9725582/-43.8936302,-68.9725582,-43.8936302,"7,60"
12/2016,CPI T01,-68.9725582/-43.8936302,-68.9725582,-43.8936302,"15,60"
12/2015,CPI T02,-68.8903582/-43.914771,-68.8903582,-43.914771,"0,80"
12/2016,CPI T02,-68.8903582/-43.914771,-68.8903582,-43.914771,"8,20"
12/2015,CPI T03,-68.8321295/-43.9387067,-68.8321295,-43.9387067,"6,40"
12/2016,CPI T03,-68.8321295/-43.9387067,-68.8321295,-43.9387067,"13,60"
12/2015,CPI T04,-68.7716945/-43.9476843,-68.7716945,-43.9476843,"3,40"
12/2016,CPI T04,-68.7716945/-43.9476843,-68.7716945,-43.9476843,"8,20"
12/2015,CPI T05,-68.7158443/-43.9685118,-68.7158443,-43.9685118,"10,60"
12/2016,CPI T05,-68.7158443/-43.9685118,-68.7158443,-43.9685118,"7,40"
12/2015,CPI T06,-68.6640155/-43.9994395,-68.6640155,-43.9994395,"3,00"
12/2016,CPI T06,-68.6640155/-43.9994395,-68.6640155,-43.9994395,"7,00"
12/2015,CPI T07,-68.6149961/-44.0401426,-68.6149961,-44.0401426,"2,00"
12/2016,CPI T07,-68.6149961/-44.0401426,-68.6149961,-44.0401426,"4,60"
12/2015,CPI T08,-68.5449817/-44.0811577,-68.5449817,-44.0811577,"4,20"
12/2016,CPI T08,-68.5449817/-44.0811577,-68.5449817,-44.0811577,"11,20"
12/2015,CPI T09,-68.532948/-44.1036755,-68.532948,-44.1036755,"1,60"
12/2016,CPI T09,-68.532948/-44.1036755,-68.532948,-44.1036755,"8,00"
12/2015,CPI T10,-68.4932317/-44.1328776,-68.4932317,-44.1328776,"9,40"
12/2016,CPI T10,-68.4932317/-44.1328776,-68.4932317,-44.1328776,"14,00"
12/2015,CPI T11,-68.442021/-44.1413336,-68.442021,-44.1413336,"5,20"
12/2016,CPI T11,-68.442021/-44.1413336,-68.442021,-44.1413336,"9,00"
12/2015,CPI T12,-68.3813182/-44.137084,-68.3813182,-44.137084,"6,00"
12/2016,CPI T12,-68.3813182/-44.137084,-68.3813182,-44.137084,"9,80"
12/2015,CPI T13,-68.3258145/-44.1412485,-68.3258145,-44.1412485,"2,80"
12/2016,CPI T13,-68.3258145/-44.1412485,-68.3258145,-44.1412485,"5,40"
12/2015,CPI T14,-68.2715097/-44.1559258,-68.2715097,-44.1559258,"9,60"
12/2016,CPI T14,-68.2715097/-44.1559258,-68.2715097,-44.1559258,"10,80"
12/2015,CPI T15,-68.2297549/-44.138724,-68.2297549,-44.138724,"4,20"
12/2016,CPI T15,-68.2297549/-44.138724,-68.2297549,-44.138724,"7,40"
12/2015,CPI T16,-68.1632257/-44.1211922,-68.1632257,-44.1211922,"1,20"
12/2016,CPI T16,-68.1632257/-44.1211922,-68.1632257,-44.1211922,"8,20"
12/2015,CPI T17,-68.0974757/-44.0983185,-68.0974757,-44.0983185,"2,20"
12/2016,CPI T17,-68.0974757/-44.0983185,-68.0974757,-44.0983185,"4,00"
12/2015,CPI T18,-68.0276266/-44.1065095,-68.0276266,-44.1065095,"4,00"
12/2016,CPI T18,-68.0276266/-44.1065095,-68.0276266,-44.1065095,"7,00"
12/2015,CPI T19,-67.9464316/-44.1082811,-67.9464316,-44.1082811,"3,00"
12/2016,CPI T19,-67.9464316/-44.1082811,-67.9464316,-44.1082811,"13,40"
12/2015,CPI T20,-67.9195143/-44.0655771,-67.9195143,-44.0655771,"0,80"
12/2016,CPI T20,-67.9195143/-44.0655771,-67.9195143,-44.0655771,"3,80"
12/2015,CPI T21,-67.8956266/-44.0280996,-67.8956266,-44.0280996,"0,60"
12/2016,CPI T21,-67.8956266/-44.0280996,-67.8956266,-44.0280996,"3,00"
12/2015,CPI T22,-67.8529614/-43.9963911,-67.8529614,-43.9963911,"0,20"
12/2016,CPI T22,-67.8529614/-43.9963911,-67.8529614,-43.9963911,"6,60"
12/2015,CPI T23,-67.7994073/-43.9815177,-67.7994073,-43.9815177,"0,60"
12/2016,CPI T23,-67.7994073/-43.9815177,-67.7994073,-43.9815177,"6,60"
12/2015,CPI T24,-67.7435142/-43.9903242,-67.7435142,-43.9903242,"2,00"
12/2016,CPI T24,-67.7435142/-43.9903242,-67.7435142,-43.9903242,"6,00"
12/2015,CPI T25,-67.6819531/-43.9600646,-67.6819531,-43.9600646,"3,00"
